d a t a,c l o s e
2 0 2 4 - 0 7 - 0 1,2 5 0 2
2 0 2 4 - 0 7 - 0 2,2 4 9 5 5
2 0 2 4 - 0 7 - 0 3,2 4 9 3 5
2 0 2 4 - 0 7 - 0 5,2 4 9 2
2 0 2 4 - 0 7 - 0 8,2 4 9 3
2 0 2 4 - 0 7 - 0 9,2 4 8 9
2 0 2 4 - 0 7 - 1 0,2 4 8 7 1
2 0 2 4 - 0 7 - 1 1,2 4 8 8
2 0 2 4 - 0 7 - 1 2,2 4 8 7
2 0 2 4 - 0 7 - 1 5,2 4 8 9 6
2 0 2 4 - 0 7 - 1 6,2 4 8 7
2 0 2 4 - 0 7 - 1 7,2 4 9 2
2 0 2 4 - 0 7 - 1 8,2 4 9 2
2 0 2 4 - 0 7 - 1 9,2 5 0 4
2 0 2 4 - 0 7 - 2 2,2 4 9 7
2 0 2 4 - 0 7 - 2 3,2 4 9 5
2 0 2 4 - 0 7 - 2 4,2 5 0 8
2 0 2 4 - 0 7 - 2 5,2 5 1 1
2 0 2 4 - 0 7 - 2 6,2 5 0 8
2 0 2 4 - 0 7 - 2 9,2 5 0 8
2 0 2 4 - 0 7 - 3 0,2 5 1 5
2 0 2 4 - 0 7 - 3 1,2 5 0 1
2 0 2 4 - 0 8 - 0 1,2 5 1 0 6
